,Animal Number,gestation,weeks,Device Name,visit_results_new,failed_count,parity
11,3,2,9,Astronaut 109,Automatic robot stop,1.0,Multiparous
122,534,7,7,Astronaut 103,Connection attempt,1.0,Multiparous
157,534,7,25,Astronaut 102,Connection attempt,1.0,Multiparous
183,1297,1,3,Astronaut 103,Automatic robot stop,1.0,Primiparous
187,1297,1,4,Astronaut 103,Stopped by user,1.0,Primiparous
193,1297,1,6,Astronaut 102,Connection attempt,2.0,Primiparous
225,1297,1,19,Astronaut 103,Automatic robot stop,1.0,Primiparous
272,1391,6,9,Astronaut 105,Connection attempt,2.0,Multiparous
357,1940,2,20,Astronaut 112,Connection time,1.0,Multiparous
367,1940,2,29,Astronaut 112,Stopped by user,2.0,Multiparous
373,1940,2,34,Astronaut 112,Connection attempt,1.0,Multiparous
409,1940,3,20,Astronaut 106,Dead milk time,1.0,Multiparous
509,1940,5,8,Astronaut 103,Dead milk time,1.0,Multiparous
565,1940,5,27,Astronaut 103,Dead milk time,1.0,Multiparous
602,1940,5,40,Astronaut 101,Dead milk time,1.0,Multiparous
649,1940,6,13,Astronaut 102,Dead milk time,1.0,Multiparous
717,2930,6,8,Astronaut 117,Connection attempt,1.0,Multiparous
760,14423,6,10,Astronaut 111,Dead milk time,1.0,Multiparous
841,14577,2,2,Astronaut 118,Dead milk time,1.0,Multiparous
842,14577,2,2,Astronaut 118,Stopped by user,1.0,Multiparous
845,14577,2,3,Astronaut 118,Connection time,1.0,Multiparous
855,14577,2,8,Astronaut 118,Dead milk time,1.0,Multiparous
868,14577,2,18,Astronaut 118,Dead milk time,2.0,Multiparous
873,14577,2,22,Astronaut 118,Dead milk time,1.0,Multiparous
876,14577,2,24,Astronaut 118,Dead milk time,1.0,Multiparous
958,14577,5,6,Astronaut 101,Connection attempt,1.0,Multiparous
960,14577,5,7,Astronaut 101,Connection attempt,1.0,Multiparous
976,14577,5,18,Astronaut 107,Dead milk time,1.0,Multiparous
979,14577,5,19,Astronaut 107,Connection time,1.0,Multiparous
985,14577,5,22,Astronaut 107,Automatic robot stop,1.0,Multiparous
987,14577,5,23,Astronaut 107,Connection attempt,1.0,Multiparous
992,14577,5,25,Astronaut 107,Automatic robot stop,1.0,Multiparous
1019,14577,5,37,Astronaut 107,Connection attempt,1.0,Multiparous
1045,14579,5,4,Astronaut 112,Dead milk time,1.0,Multiparous
1047,14579,5,5,Astronaut 110,Dead milk time,2.0,Multiparous
1050,14579,5,5,Astronaut 112,Dead milk time,1.0,Multiparous
1055,14579,5,7,Astronaut 110,Dead milk time,1.0,Multiparous
1077,14579,5,14,Astronaut 110,Dead milk time,1.0,Multiparous
1111,14579,5,25,Astronaut 110,Dead milk time,1.0,Multiparous
1121,14579,5,28,Astronaut 110,Dead milk time,1.0,Multiparous
1125,14579,5,29,Astronaut 110,Dead milk time,1.0,Multiparous
1156,14579,5,39,Astronaut 110,Dead milk time,1.0,Multiparous
1178,14677,5,3,Astronaut 115,Automatic robot stop,1.0,Multiparous
1182,14677,5,4,Astronaut 115,Connection time,3.0,Multiparous
1188,14677,5,7,Astronaut 115,Connection time,1.0,Multiparous
1191,14677,5,8,Astronaut 115,Connection time,1.0,Multiparous
1194,14677,5,9,Astronaut 115,Connection time,1.0,Multiparous
