,Animal Number,gestation,months,weeks,correct_pen,Device Name,visit_results_new,failed_count,parity
13,3,2,3,9,32,Astronaut 109,Automatic robot stop,1.0,Multiparous
138,534,7,2,7,30,Astronaut 103,Connection attempt,1.0,Multiparous
180,534,7,7,25,30,Astronaut 102,Connection attempt,1.0,Multiparous
213,1297,1,2,3,30,Astronaut 103,Automatic robot stop,1.0,Primiparous
217,1297,1,2,4,30,Astronaut 103,Stopped by user,1.0,Primiparous
223,1297,1,2,6,30,Astronaut 102,Connection attempt,2.0,Primiparous
260,1297,1,5,19,30,Astronaut 103,Automatic robot stop,1.0,Primiparous
313,1391,6,3,9,31,Astronaut 105,Connection attempt,2.0,Multiparous
400,1940,2,6,20,33,Astronaut 112,Connection time,1.0,Multiparous
411,1940,2,8,29,33,Astronaut 112,Stopped by user,2.0,Multiparous
418,1940,2,9,34,33,Astronaut 112,Connection attempt,1.0,Multiparous
461,1940,3,6,20,31,Astronaut 106,Dead milk time,1.0,Multiparous
581,1940,5,3,8,30,Astronaut 103,Dead milk time,1.0,Multiparous
644,1940,5,7,27,30,Astronaut 103,Dead milk time,1.0,Multiparous
686,1940,5,10,40,30,Astronaut 101,Dead milk time,1.0,Multiparous
743,1940,6,4,13,30,Astronaut 102,Dead milk time,1.0,Multiparous
821,2930,6,3,8,35,Astronaut 117,Connection attempt,1.0,Multiparous
873,14423,6,3,10,33,Astronaut 111,Dead milk time,1.0,Multiparous
963,14577,2,1,2,35,Astronaut 118,Dead milk time,1.0,Multiparous
964,14577,2,1,2,35,Astronaut 118,Stopped by user,1.0,Multiparous
967,14577,2,1,3,35,Astronaut 118,Connection time,1.0,Multiparous
980,14577,2,3,8,35,Astronaut 118,Dead milk time,1.0,Multiparous
995,14577,2,5,18,35,Astronaut 118,Dead milk time,2.0,Multiparous
1001,14577,2,6,22,35,Astronaut 118,Dead milk time,1.0,Multiparous
1004,14577,2,6,24,35,Astronaut 118,Dead milk time,1.0,Multiparous
1100,14577,5,2,6,30,Astronaut 101,Connection attempt,1.0,Multiparous
1102,14577,5,2,7,30,Astronaut 101,Connection attempt,1.0,Multiparous
1121,14577,5,5,18,32,Astronaut 107,Dead milk time,1.0,Multiparous
1124,14577,5,5,19,32,Astronaut 107,Connection time,1.0,Multiparous
1131,14577,5,6,22,32,Astronaut 107,Automatic robot stop,1.0,Multiparous
1133,14577,5,6,23,32,Astronaut 107,Connection attempt,1.0,Multiparous
1138,14577,5,7,25,32,Astronaut 107,Automatic robot stop,1.0,Multiparous
1169,14577,5,9,37,32,Astronaut 107,Connection attempt,1.0,Multiparous
1197,14579,5,2,4,33,Astronaut 112,Dead milk time,1.0,Multiparous
1199,14579,5,2,5,33,Astronaut 110,Dead milk time,2.0,Multiparous
1202,14579,5,2,5,33,Astronaut 112,Dead milk time,1.0,Multiparous
1207,14579,5,2,7,33,Astronaut 110,Dead milk time,1.0,Multiparous
1234,14579,5,4,14,33,Astronaut 110,Dead milk time,1.0,Multiparous
1271,14579,5,7,25,33,Astronaut 110,Dead milk time,1.0,Multiparous
1281,14579,5,7,28,33,Astronaut 110,Dead milk time,1.0,Multiparous
1285,14579,5,7,29,33,Astronaut 110,Dead milk time,1.0,Multiparous
1321,14579,5,10,39,33,Astronaut 110,Dead milk time,1.0,Multiparous
1345,14677,5,1,3,34,Astronaut 115,Automatic robot stop,1.0,Multiparous
1350,14677,5,2,4,34,Astronaut 115,Connection time,3.0,Multiparous
1356,14677,5,2,7,34,Astronaut 115,Connection time,1.0,Multiparous
1360,14677,5,3,8,34,Astronaut 115,Connection time,1.0,Multiparous
1363,14677,5,3,9,34,Astronaut 115,Connection time,1.0,Multiparous
1366,14677,5,3,10,34,Astronaut 115,Connection time,2.0,Multiparous
1372,14677,5,3,12,34,Astronaut 115,Connection time,1.0,Multiparous
1376,14677,5,4,13,34,Astronaut 114,Connection time,1.0,Multiparous
1378,14677,5,4,13,34,Astronaut 115,Connection time,1.0,Multiparous
1383,14677,5,4,15,34,Astronaut 114,Connection time,1.0,Multiparous
1387,14677,5,4,16,34,Astronaut 114,Connection time,1.0,Multiparous
1388,14677,5,4,16,34,Astronaut 114,Dead milk time,1.0,Multiparous
1390,14677,5,4,16,34,Astronaut 115,Dead milk time,2.0,Multiparous
1393,14677,5,5,16,34,Astronaut 114,Connection time,3.0,Multiparous
1394,14677,5,5,16,34,Astronaut 115,Connection time,1.0,Multiparous
1399,14677,5,5,18,34,Astronaut 114,Connection time,1.0,Multiparous
1401,14677,5,5,18,34,Astronaut 115,Connection time,2.0,Multiparous
1402,14677,5,5,18,34,Astronaut 115,Dead milk time,1.0,Multiparous
1405,14677,5,5,19,34,Astronaut 114,Connection time,1.0,Multiparous
1409,14677,5,5,20,34,Astronaut 114,Connection time,3.0,Multiparous
1448,14939,5,4,12,30,Astronaut 102,Dead milk time,1.0,Multiparous
1454,14939,5,4,14,30,Astronaut 101,Connection attempt,1.0,Multiparous
1470,14939,5,5,18,30,Astronaut 101,Connection attempt,2.0,Multiparous
1477,14939,5,5,20,30,Astronaut 101,Connection attempt,1.0,Multiparous
1478,14939,5,5,20,30,Astronaut 101,Dead milk time,2.0,Multiparous
1485,14939,5,6,21,30,Astronaut 101,Connection attempt,1.0,Multiparous
