,Animal Number,gestation,weeks,visit_results_new,failed_count,parity
8,3,2,9,Automatic robot stop,1.0,Multiparous
53,534,7,7,Connection attempt,1.0,Multiparous
72,534,7,25,Connection attempt,1.0,Multiparous
85,1297,1,3,Automatic robot stop,1.0,Primiparous
87,1297,1,4,Stopped by user,1.0,Primiparous
90,1297,1,6,Connection attempt,2.0,Primiparous
101,1297,1,19,Automatic robot stop,1.0,Primiparous
119,1391,6,9,Connection attempt,2.0,Multiparous
157,1940,2,20,Connection time,1.0,Multiparous
167,1940,2,29,Stopped by user,2.0,Multiparous
173,1940,2,34,Connection attempt,1.0,Multiparous
206,1940,3,20,Dead milk time,1.0,Multiparous
290,1940,5,8,Dead milk time,1.0,Multiparous
310,1940,5,27,Dead milk time,1.0,Multiparous
324,1940,5,40,Dead milk time,1.0,Multiparous
341,1940,6,13,Dead milk time,1.0,Multiparous
367,2930,6,8,Connection attempt,1.0,Multiparous
386,14423,6,10,Dead milk time,1.0,Multiparous
415,14577,2,2,Dead milk time,1.0,Multiparous
416,14577,2,2,Stopped by user,1.0,Multiparous
418,14577,2,3,Connection time,1.0,Multiparous
424,14577,2,8,Dead milk time,1.0,Multiparous
435,14577,2,18,Dead milk time,2.0,Multiparous
440,14577,2,22,Dead milk time,1.0,Multiparous
443,14577,2,24,Dead milk time,1.0,Multiparous
519,14577,5,6,Connection attempt,1.0,Multiparous
521,14577,5,7,Connection attempt,1.0,Multiparous
533,14577,5,18,Dead milk time,1.0,Multiparous
535,14577,5,19,Connection time,1.0,Multiparous
539,14577,5,22,Automatic robot stop,1.0,Multiparous
541,14577,5,23,Connection attempt,1.0,Multiparous
544,14577,5,25,Automatic robot stop,1.0,Multiparous
557,14577,5,37,Connection attempt,1.0,Multiparous
572,14579,5,4,Dead milk time,1.0,Multiparous
574,14579,5,5,Dead milk time,3.0,Multiparous
577,14579,5,7,Dead milk time,1.0,Multiparous
585,14579,5,14,Dead milk time,1.0,Multiparous
597,14579,5,25,Dead milk time,1.0,Multiparous
601,14579,5,28,Dead milk time,1.0,Multiparous
603,14579,5,29,Dead milk time,1.0,Multiparous
614,14579,5,39,Dead milk time,1.0,Multiparous
622,14677,5,3,Automatic robot stop,1.0,Multiparous
624,14677,5,4,Connection time,3.0,Multiparous
628,14677,5,7,Connection time,1.0,Multiparous
630,14677,5,8,Connection time,1.0,Multiparous
632,14677,5,9,Connection time,1.0,Multiparous
634,14677,5,10,Connection time,2.0,Multiparous
637,14677,5,12,Connection time,1.0,Multiparous
639,14677,5,13,Connection time,2.0,Multiparous
642,14677,5,15,Connection time,1.0,Multiparous
644,14677,5,16,Connection time,5.0,Multiparous
645,14677,5,16,Dead milk time,3.0,Multiparous
648,14677,5,18,Connection time,3.0,Multiparous
649,14677,5,18,Dead milk time,1.0,Multiparous
651,14677,5,19,Connection time,1.0,Multiparous
653,14677,5,20,Connection time,3.0,Multiparous
665,14939,5,12,Dead milk time,1.0,Multiparous
668,14939,5,14,Connection attempt,1.0,Multiparous
673,14939,5,18,Connection attempt,2.0,Multiparous
676,14939,5,20,Connection attempt,1.0,Multiparous
677,14939,5,20,Dead milk time,2.0,Multiparous
679,14939,5,21,Connection attempt,1.0,Multiparous
682,14939,5,23,Connection time,1.0,Multiparous
683,14939,5,23,Dead milk time,1.0,Multiparous
686,14939,5,25,Connection attempt,1.0,Multiparous
695,14939,5,33,Dead milk time,1.0,Multiparous
706,14950,4,32,Connection attempt,1.0,Multiparous
727,14950,4,52,Connection time,1.0,Multiparous
730,14950,4,54,Connection time,1.0,Multiparous
735,14950,4,58,Connection time,1.0,Multiparous
737,14950,4,59,Connection time,1.0,Multiparous
750,14950,4,71,Dead milk time,1.0,Multiparous
763,15087,4,9,Dead milk time,2.0,Multiparous
769,15087,4,14,Connection attempt,1.0,Multiparous
803,15114,3,17,Dead milk time,1.0,Multiparous
829,15114,3,45,Dead milk time,1.0,Multiparous
835,15114,4,5,Connection attempt,1.0,Multiparous
854,15114,4,23,Dead milk time,2.0,Multiparous
861,15114,4,29,Dead milk time,1.0,Multiparous
867,15114,4,34,Dead milk time,1.0,Multiparous
888,15114,5,3,Connection attempt,1.0,Multiparous
898,15114,5,12,Connection attempt,1.0,Multiparous
901,15114,5,14,Dead milk time,1.0,Multiparous
913,15114,5,25,Dead milk time,1.0,Multiparous
936,15189,1,8,Connection attempt,1.0,Primiparous
948,15189,1,19,Dead milk time,1.0,Primiparous
957,15189,1,27,Automatic robot stop,1.0,Primiparous
964,15189,1,33,Automatic robot stop,1.0,Primiparous
985,15189,2,8,Connection attempt,1.0,Multiparous
995,15189,2,17,Connection time,1.0,Multiparous
997,15189,2,18,Automatic robot stop,1.0,Multiparous
1010,15189,2,30,Connection time,1.0,Multiparous
1031,15189,3,4,Connection attempt,3.0,Multiparous
1033,15189,3,5,Connection attempt,2.0,Multiparous
1039,15189,3,14,Connection attempt,1.0,Multiparous
1066,15189,3,40,Dead milk time,1.0,Multiparous
1078,15189,4,10,Automatic robot stop,1.0,Multiparous
1081,15189,4,12,Dead milk time,1.0,Multiparous
1105,15189,4,35,Dead milk time,1.0,Multiparous
1108,15189,4,37,Dead milk time,1.0,Multiparous
1124,15189,5,10,Dead milk time,1.0,Multiparous
1133,15189,5,18,Connection attempt,1.0,Multiparous
1170,15195,1,23,Dead milk time,1.0,Primiparous
1172,15195,1,24,Dead milk time,1.0,Primiparous
1181,15195,1,32,Connection attempt,1.0,Primiparous
1182,15195,1,32,Dead milk time,1.0,Primiparous
1205,15195,4,17,Dead milk time,1.0,Multiparous
1209,15195,4,20,Connection attempt,1.0,Multiparous
1238,15195,4,48,Connection time,1.0,Multiparous
1239,15195,4,48,Dead milk time,1.0,Multiparous
1247,15195,5,4,Dead milk time,1.0,Multiparous
1252,15195,5,8,Dead milk time,2.0,Multiparous
1261,15195,5,16,Dead milk time,1.0,Multiparous
1264,15195,5,18,Dead milk time,1.0,Multiparous
1278,15195,5,31,Dead milk time,1.0,Multiparous
1309,15291,4,13,Dead milk time,1.0,Multiparous
1323,15291,4,26,Dead milk time,1.0,Multiparous
1335,15291,4,37,Dead milk time,1.0,Multiparous
1340,15291,4,41,Dead milk time,1.0,Multiparous
1342,15291,4,42,Dead milk time,1.0,Multiparous
1345,15291,4,44,Dead milk time,1.0,Multiparous
1349,15291,4,47,Connection time,1.0,Multiparous
1350,15291,4,47,Dead milk time,1.0,Multiparous
1352,15291,4,48,Connection time,9.0,Multiparous
1354,15291,4,49,Connection time,1.0,Multiparous
1355,15291,4,49,Dead milk time,2.0,Multiparous
1358,15291,5,4,Connection attempt,1.0,Multiparous
1362,15291,5,7,Dead milk time,1.0,Multiparous
1364,15291,5,8,Dead milk time,1.0,Multiparous
1366,15291,5,9,Dead milk time,2.0,Multiparous
1370,15291,5,12,Automatic robot stop,1.0,Multiparous
1378,15291,5,19,Dead milk time,1.0,Multiparous
1405,15355,1,30,Connection time,1.0,Primiparous
1407,15355,1,31,Dead milk time,1.0,Primiparous
1409,15355,1,32,Dead milk time,2.0,Primiparous
1411,15355,1,33,Connection time,1.0,Primiparous
1412,15355,1,33,Dead milk time,1.0,Primiparous
1414,15355,1,34,Connection time,1.0,Primiparous
1415,15355,1,34,Dead milk time,2.0,Primiparous
1417,15355,1,35,Dead milk time,1.0,Primiparous
1419,15355,1,36,Connection time,1.0,Primiparous
1420,15355,1,36,Dead milk time,2.0,Primiparous
1422,15355,1,37,Dead milk time,2.0,Primiparous
1425,15355,1,39,Dead milk time,1.0,Primiparous
1427,15355,1,40,Connection time,1.0,Primiparous
1428,15355,1,40,Dead milk time,4.0,Primiparous
1430,15355,1,41,Dead milk time,1.0,Primiparous
1433,15355,1,43,Dead milk time,1.0,Primiparous
1435,15355,1,44,Connection time,1.0,Primiparous
1436,15355,1,44,Dead milk time,2.0,Primiparous
1438,15355,1,45,Dead milk time,1.0,Primiparous
1440,15355,1,46,Connection time,1.0,Primiparous
1470,15355,2,26,Dead milk time,1.0,Multiparous
1484,15355,2,39,Automatic robot stop,1.0,Multiparous
1498,15355,2,52,Connection time,2.0,Multiparous
1500,15355,2,53,Connection time,1.0,Multiparous
1503,15355,2,55,Connection time,1.0,Multiparous
1504,15355,2,55,Dead milk time,1.0,Multiparous
1508,15355,3,3,Automatic robot stop,1.0,Multiparous
1510,15355,3,4,Connection time,1.0,Multiparous
1536,15355,3,32,Connection time,2.0,Multiparous
1562,15355,4,8,Automatic robot stop,1.0,Multiparous
1564,15355,4,9,Dead milk time,3.0,Multiparous
1568,15355,4,12,Automatic robot stop,1.0,Multiparous
1570,15355,4,13,Dead milk time,1.0,Multiparous
1573,15355,4,15,Dead milk time,1.0,Multiparous
1576,15355,4,17,Dead milk time,2.0,Multiparous
1579,15355,4,19,Dead milk time,2.0,Multiparous
1581,15355,4,20,Connection time,1.0,Multiparous
1591,15355,4,29,Dead milk time,1.0,Multiparous
1593,15355,4,30,Connection time,1.0,Multiparous
1594,15355,4,30,Dead milk time,2.0,Multiparous
1596,15355,4,31,Dead milk time,2.0,Multiparous
1600,15355,4,34,Connection time,2.0,Multiparous
1601,15355,4,34,Dead milk time,1.0,Multiparous
1603,15355,4,35,Dead milk time,4.0,Multiparous
1605,15355,4,36,Dead milk time,2.0,Multiparous
1612,15355,4,42,Connection time,1.0,Multiparous
1614,15355,4,43,Connection time,1.0,Multiparous
1617,15355,4,45,Connection time,3.0,Multiparous
1626,15355,5,9,Connection time,1.0,Multiparous
1643,15355,5,25,Dead milk time,1.0,Multiparous
1656,15439,1,30,Connection attempt,1.0,Primiparous
1699,15439,2,29,Connection time,1.0,Multiparous
1743,15439,3,29,Automatic robot stop,1.0,Multiparous
1745,15439,3,30,Automatic robot stop,1.0,Multiparous
1760,15439,3,44,Connection attempt,1.0,Multiparous
1781,15439,4,19,Connection attempt,1.0,Multiparous
1823,15439,5,12,Automatic robot stop,1.0,Multiparous
1827,15439,5,15,Automatic robot stop,1.0,Multiparous
1833,15439,5,20,Automatic robot stop,1.0,Multiparous
1855,15447,1,22,Connection time,1.0,Primiparous
1857,15447,1,23,Connection attempt,1.0,Primiparous
1875,15447,1,40,Dead milk time,1.0,Primiparous
1964,15447,3,44,Dead milk time,1.0,Multiparous
1968,15447,4,2,Dead milk time,1.0,Multiparous
2008,15447,4,41,Connection attempt,1.0,Multiparous
2017,15447,5,7,Dead milk time,1.0,Multiparous
2059,15518,4,19,Dead milk time,1.0,Multiparous
2065,15518,4,24,Dead milk time,1.0,Multiparous
2075,15518,4,33,Connection attempt,1.0,Multiparous
2080,15518,4,37,Connection time,1.0,Multiparous
2113,15524,4,5,Dead milk time,1.0,Multiparous
2143,15524,4,34,Dead milk time,1.0,Multiparous
2152,15524,5,2,Dead milk time,1.0,Multiparous
2154,15524,5,3,Dead milk time,1.0,Multiparous
2163,15866,2,7,Dead milk time,1.0,Multiparous
2168,15866,2,11,Connection time,1.0,Multiparous
2173,15866,2,15,Connection attempt,1.0,Multiparous
2184,15866,2,25,Connection time,1.0,Multiparous
2187,15866,2,27,Stopped by user,1.0,Multiparous
2192,15866,2,31,Connection time,1.0,Multiparous
2196,15866,2,34,Connection time,1.0,Multiparous
2198,15866,2,35,Connection time,1.0,Multiparous
2203,15866,2,39,Connection attempt,2.0,Multiparous
2204,15866,2,39,Connection time,3.0,Multiparous
2208,15866,2,42,Automatic robot stop,1.0,Multiparous
2218,15866,3,3,Connection time,1.0,Multiparous
2249,15866,3,36,Connection time,1.0,Multiparous
2251,15866,3,37,Connection time,1.0,Multiparous
2259,15866,4,2,Connection attempt,1.0,Multiparous
2283,15866,4,25,Connection attempt,1.0,Multiparous
2309,15866,5,8,Connection attempt,1.0,Multiparous
2311,15866,5,9,Dead milk time,1.0,Multiparous
2313,15866,5,10,Dead milk time,1.0,Multiparous
2326,15866,5,22,Automatic robot stop,1.0,Multiparous
2355,15945,1,27,Dead milk time,1.0,Primiparous
2374,15945,2,5,Automatic robot stop,1.0,Multiparous
2378,15945,2,8,Dead milk time,2.0,Multiparous
2382,15945,2,11,Dead milk time,2.0,Multiparous
2398,15945,2,26,Automatic robot stop,1.0,Multiparous
2412,15945,2,39,Connection time,1.0,Multiparous
2418,15945,3,4,Connection time,2.0,Multiparous
2420,15945,3,5,Connection time,2.0,Multiparous
2422,15945,3,6,Connection time,2.0,Multiparous
2423,15945,3,6,Dead milk time,1.0,Multiparous
2434,15945,3,16,Connection time,1.0,Multiparous
2440,15945,3,24,Automatic robot stop,1.0,Multiparous
2443,15945,3,26,Dead milk time,1.0,Multiparous
2470,15945,3,52,Dead milk time,1.0,Multiparous
2471,15945,3,52,Stopped by user,1.0,Multiparous
2479,15945,4,4,Dead milk time,1.0,Multiparous
2482,15945,4,6,Dead milk time,1.0,Multiparous
2484,15945,4,7,Dead milk time,1.0,Multiparous
2486,15945,4,8,Dead milk time,1.0,Multiparous
2490,15945,4,11,Dead milk time,1.0,Multiparous
2493,15945,4,13,Dead milk time,1.0,Multiparous
2496,15945,4,15,Dead milk time,1.0,Multiparous
2502,15945,4,20,Dead milk time,3.0,Multiparous
2504,15945,4,21,Dead milk time,1.0,Multiparous
2506,15945,4,22,Dead milk time,1.0,Multiparous
2509,15945,4,24,Dead milk time,1.0,Multiparous
2513,15945,4,27,Dead milk time,1.0,Multiparous
2515,15945,4,28,Dead milk time,3.0,Multiparous
2518,15945,4,30,Automatic robot stop,1.0,Multiparous
2521,15945,4,32,Dead milk time,1.0,Multiparous
2524,15945,4,34,Dead milk time,1.0,Multiparous
2532,15945,4,41,Dead milk time,1.0,Multiparous
2543,15945,4,51,Connection time,3.0,Multiparous
2545,15945,4,52,Connection time,5.0,Multiparous
2547,15945,4,53,Connection time,9.0,Multiparous
2549,15945,4,54,Connection time,11.0,Multiparous
2551,15945,4,55,Connection time,10.0,Multiparous
2552,15945,4,55,Dead milk time,4.0,Multiparous
2589,15949,4,27,Dead milk time,1.0,Multiparous
2591,15949,4,28,Dead milk time,1.0,Multiparous
2593,15949,4,29,Dead milk time,1.0,Multiparous
2595,15949,4,30,Connection attempt,1.0,Multiparous
2667,16015,5,4,Dead milk time,1.0,Multiparous
2674,16057,2,2,Connection time,1.0,Multiparous
2682,16057,2,9,Dead milk time,1.0,Multiparous
2685,16057,2,11,Dead milk time,1.0,Multiparous
2700,16057,2,25,Connection attempt,1.0,Multiparous
2701,16057,2,25,Connection time,3.0,Multiparous
2703,16057,2,26,Connection time,9.0,Multiparous
2705,16057,2,27,Connection time,2.0,Multiparous
2716,16057,2,37,Connection time,1.0,Multiparous
2722,16057,2,42,Dead milk time,1.0,Multiparous
2725,16057,3,2,Connection time,1.0,Multiparous
2733,16057,3,9,Connection time,1.0,Multiparous
2735,16057,3,10,Connection time,5.0,Multiparous
2737,16057,3,11,Connection time,4.0,Multiparous
2739,16057,3,12,Connection time,3.0,Multiparous
2741,16057,3,13,Connection attempt,1.0,Multiparous
2742,16057,3,13,Connection time,5.0,Multiparous
2744,16057,3,14,Connection time,2.0,Multiparous
2746,16057,3,19,Connection time,1.0,Multiparous
2748,16057,3,20,Connection time,3.0,Multiparous
2750,16057,3,21,Connection time,1.0,Multiparous
2754,16057,3,24,Connection time,2.0,Multiparous
2756,16057,3,25,Connection time,2.0,Multiparous
2760,16057,3,28,Connection time,2.0,Multiparous
2764,16057,3,31,Automatic robot stop,1.0,Multiparous
2799,16057,4,19,Stopped by user,1.0,Multiparous
2813,16057,4,32,Automatic robot stop,1.0,Multiparous
2825,16057,4,43,Automatic robot stop,1.0,Multiparous
2850,16057,5,19,Dead milk time,1.0,Multiparous
2861,16057,5,29,Dead milk time,1.0,Multiparous
2877,16119,4,13,Automatic robot stop,1.0,Multiparous
2896,16133,1,7,Dead milk time,1.0,Primiparous
2899,16133,1,9,Dead milk time,1.0,Primiparous
2901,16133,1,10,Dead milk time,1.0,Primiparous
2903,16133,1,11,Dead milk time,2.0,Primiparous
2906,16133,1,13,Dead milk time,1.0,Primiparous
2908,16133,1,14,Connection attempt,1.0,Primiparous
2909,16133,1,14,Dead milk time,3.0,Primiparous
2911,16133,1,15,Dead milk time,5.0,Primiparous
